"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CD274",156.136039753712,1.52801250981867,0.295088488610953,8.38693927463428e-08,4.17110446591812e-05
"WARS",4156.49036147434,1.51689326460019,0.358067191447372,4.3982470711124e-06,0.000859333701560675
"CYBB",1715.40959776434,1.51223135825275,0.361563748309766,5.18888381754138e-06,0.00097885012889068
"CD3E",58.7896119773646,1.49837499105362,0.49238756495263,5.52035187163779e-05,0.00611549059116263
"HLA-DMA",546.387206144845,1.49541986660866,0.230903198661131,3.9167375524898e-11,6.73145696361972e-08
"CD86",220.893217299428,1.49018949178213,0.246975110132978,6.66303439176961e-10,9.94124731252026e-07
"LILRB4",258.264771659506,1.48857161885453,0.328930960039264,1.70436443746986e-06,0.000466200485795924
"HLA-DPB1",1433.44795717906,1.4836931198587,0.347659200316451,4.14385246165806e-06,0.000829376909765026
"CD96",89.4243273268245,1.47944041866467,0.368308562812784,8.44727537227362e-06,0.00142242681873127
"DUOX2",985.081255391586,1.46885341169524,0.352465310188252,5.67669853967299e-06,0.00105870427764901
"CCR5",109.112624110422,1.46746592399348,0.287381855810319,1.3083242375011e-07,5.80330199618055e-05
"PRKCQ",34.8405275357116,1.4650558632139,0.511479427639215,7.47574181542488e-05,0.00768404295659964
"MIAT",124.304836031747,1.46011356690782,0.334806110777917,3.14878080521298e-06,0.000680005847549402
"TFEC",237.14363185199,1.4597809799468,0.350525486202999,5.77598173322345e-06,0.00106511699107487
"LCK",106.951929216909,1.4560253086804,0.545224132248292,9.97060078641042e-05,0.00940445402911309
"PTPRC",1379.42835556131,1.41734850580164,0.267123343743735,4.90321550989747e-08,2.59585719188507e-05
"SIT1",21.6603906561276,1.39574103849935,0.872272065856909,0.000390794192799027,0.0225835010289353
"AMICA1",158.882236438863,1.39315728222999,0.276175001815103,1.94797586060884e-07,7.79760483519812e-05
"SLC6A14",1254.35788305065,1.3931105609913,0.236941051989712,1.9127409278925e-09,2.24227886489798e-06
"S100B",20.9416934929082,1.39152195874345,0.69494000277217,0.000260055004425223,0.017375724042555
"TNFSF13B",287.726088166748,1.36668356460834,0.318761843086698,4.3761458257355e-06,0.000859333701560675
"EVI2A",204.966850918978,1.36486697423348,0.345075899025137,1.09339149977494e-05,0.0017592883621869
"C1QA",1520.26848560508,1.36219215932271,0.507967868845236,0.000107087005671101,0.0099294459721701
"IL2RG",207.430527632036,1.35677881289942,0.366351025824021,1.93430956682738e-05,0.00291246684502486
"FLJ32255",49.6226799054557,1.35617416952456,0.412881480283155,4.22584455115248e-05,0.00529424128042095
"QPCT",246.8124775855,1.35487155208321,0.435889478604597,5.6530006705059e-05,0.00618513646695619
"CLEC6A",10.4508404397953,1.35296913037827,1.19079034585846,0.000260445290913267,0.017375724042555
"FAM26F",104.990415088199,1.34938292539998,0.588075585096497,0.000186140530691474,0.0142435353795607
"IRAK3",461.161247908556,1.34634569669503,0.24118215805509,1.15143993219556e-08,9.94601693010186e-06
"FCGR1C",46.8304485912959,1.34626080396288,0.479490178791646,9.02095160981094e-05,0.00886538070779743
"C1QB",1859.72723951475,1.34010367040028,0.535730305441263,0.000140921056010789,0.0120349699391133
"C15orf48",375.866842098498,1.33857122709922,0.302199746078448,2.81719453313359e-06,0.000624808063213357
"CCR2",118.167656235286,1.33455512761144,0.548185126792098,0.000155508126476539,0.0127609968586648
"SAMSN1",173.550565956089,1.33452465809024,0.481332158184678,9.58438386280758e-05,0.00925287693861165
"CD74",12287.9398630596,1.32714436699258,0.331650709655614,1.00441165834532e-05,0.00163211922146172
"TRAF3IP3",60.2875758657551,1.31813448657595,0.523155932428991,0.000139789395404109,0.0120349699391133
"SNX20",50.5214620058153,1.30840683520829,0.378262191737804,3.21301578807155e-05,0.0043580177780025
"PADI2",136.217639352654,1.29787099911103,0.37551773577995,3.25067501394234e-05,0.00437295724006734
"CSF2RB",388.704229375881,1.2960949721276,0.288395689420098,2.32798710212008e-06,0.000571823235310535
"IFI30",2165.57322978466,1.29096640896793,0.252666223885943,1.57364220921605e-07,6.58954963429811e-05
"PTPN22",140.050708186213,1.28627653460442,0.393123352706948,4.52003635842203e-05,0.00541480559959287
"AOAH",159.379476615801,1.28207655001462,0.455639870406652,9.34022244947404e-05,0.00907051661779692
"IL7R",313.792101269417,1.281470526804,0.24571234267622,9.21481636944575e-08,4.44804606633364e-05
"SPN",149.485310494464,1.27829284181225,0.590649897672985,0.000237318649377001,0.0165037020066752
