"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NCF1",97.9500816475852,1.81382704322893,0.480749077357888,8.09561327605249e-06,0.0012449678491786
"EVI2A",182.010851339852,1.80903940675015,0.453590923110803,4.77694580296434e-06,0.000819673616148649
"FCER1G",307.059371452075,1.80899883613084,0.403395199624744,9.62146664294898e-07,0.000209119370328948
"GPR171",21.9915831646274,1.80268396747006,0.921753635762941,0.000119750867131163,0.00912177049114524
"FCN1",215.132131719562,1.79690262293235,0.474734601452663,8.08618442623891e-06,0.0012449678491786
"KLHDC7B",62.2765070699417,1.79551235534562,0.711111966457124,6.74651436010328e-05,0.0060095590483084
"CD96",83.3746720689189,1.79511889081023,0.406805981271629,1.28956899953717e-06,0.000270650350348543
"TNFRSF9",40.1256550534086,1.79451278555584,0.551924555805888,2.33610650265792e-05,0.00272855909458112
"CD300LF",80.2456541423457,1.7839144878926,0.667989538934216,5.69994003624414e-05,0.00527924559834181
"HLA-DQB1",1360.41762210509,1.76004712744774,0.327215706983921,1.52525412255864e-08,7.31269630936127e-06
"FYB",665.057701342444,1.75587603615955,0.339956793126974,4.78829861372752e-08,1.95135139255931e-05
"CLEC4E",69.5736650615501,1.75196117595535,0.755889468773234,9.34750563102552e-05,0.00758572506350416
"C3AR1",172.900402855002,1.74223217381801,0.501770096323251,1.69548044183222e-05,0.00216639041283285
"FCGR2A",880.873833334797,1.74201842528721,0.510637489662658,1.90116481613436e-05,0.00236571661586307
"LAG3",19.2175854545961,1.73466397886506,0.837104433421078,0.000125576810599205,0.00947697958137798
"PADI2",125.534139347141,1.71582058592801,0.388040233598063,1.43109601472137e-06,0.000295294887797128
"CD38",83.321360338027,1.71241059508333,0.375615919863527,8.54667680216777e-07,0.000197424426535193
"CLEC12A",44.6177981995719,1.71070068394568,0.896165747773406,0.000152724172014347,0.0113161669454812
"HLA-DPA1",2861.95539444488,1.70124370248568,0.286386076465007,6.70648958887755e-10,4.55510361617887e-07
"FCGR2C",118.151920499177,1.68806673710921,0.491461505011258,1.96347138720895e-05,0.00240650729946565
"DUOXA2",370.681802412351,1.6839925519464,0.896145353090501,0.000165719128983492,0.012113845388161
"AOAH",149.754138334113,1.67812829036781,0.358206462551619,5.40057211798663e-07,0.000135438040146616
"CSF2RB",339.815895176675,1.67564060922476,0.690062243027061,9.29522112990242e-05,0.00758572506350416
"C1QA",1473.84390151585,1.67052867540566,0.21148163040954,7.29204937862298e-16,2.37735393841866e-12
"MNDA",304.078983896651,1.67047336762463,0.517718013764354,2.91184996398403e-05,0.00314344809688104
"GIMAP4",292.207278151104,1.66783605666018,0.394176983837848,2.94394553782359e-06,0.000564579484847793
