"marker","cell_type","J1798_P28_Baseline","J1798_P28_C1D1","J1798_P41_Baseline","J1798_P41_C1D1","J1798_P23_Baseline","J1798_P19_Baseline","J1798_P19_C1D1","J1798_P42_Baseline","J1798_P42_C1D1","J1798_P8_Baseline","J1798_P8_C1D1","J1798_P5_Baseline","J1798_P5_C1D1","J1798_P1_Baseline","J1798_P1_C1D1","J1798_P27_Baseline","J1798_P27_C1D1","J1798_P9_Baseline","J1798_P40_Baseline","J1798_P30_Baseline","J1798_P24_Baseline","J1798_P24_C1D1","J1798_P34_Baseline","J1798_P34_C1D1","J1798_P34_PD","J1798_P3_Baseline","J1798_P3_C1D1","J1798_P18_Baseline","J1798_P18_C1D1","J1798_P38_Baseline","J1798_P38_C1D1","J1798_P33_Baseline","J1798_P33_C1D1","J1798_P33_C2D1","J1798_P44_Baseline","J1798_P44_C1D1","J1798_P44_C2D1","J1798_P6_Baseline","J1798_P6_C1D1","J1798_P14_Baseline","J1798_P14_C1D1","J1798_P26_Baseline","J1798_P26_C1D1","J1798_P15_Baseline","J1798_P15_C1D1","J1798_P15_C2D1","J1798_P12_Baseline","J1798_P21_Baseline","J1798_P21_C1D1","J1798_P25_Baseline","J1798_P25_C1D1","J1798_P25_C2D1"
"%FoxP3+ TBET+ CD4+ T cells (Th1-TREG)","CD4+ T cell",0.537634408602151,8.49669445242886,1.87494113575372,1.53935152994565,0,0,0.478548644673269,2.13675213675214,0,0.350877192982456,2.14285714285714,0.0620779798842491,0,4.01185770750988,3.33333333333333,0.495049504950495,0,0.490196078431373,0,1.43147955647956,0,0,0,0.431034482758621,3.22129968986177,0,0.522193211488251,2.45733065968397,2.16232364193645,1.86494841958973,3.5981514084507,25.9950248756219,5.29605174537538,1.33333333333333,1.23207758048789,1.19076313431626,0.218711797546319,0,4.46165191740413,0.266067574115678,8.41666666666667,3.72566795237417,0.999618598329316,0.161290322580645,2.31481481481481,1.27288357462439,0.665573032335797,2.41519265309749,1.87192118226601,0.691404349940935,0.236406619385343,0.737459257158935
"%FoxP3- TBET- CD4+ T cells (Th0, Th2, Th17, etc.)","CD4+ T cell",82.02114087844,75.4814601897097,73.9548569873356,72.0627481427881,37.5,82.5971871884649,86.9352376514532,82.3832047133018,86.4661654135338,83.6204146730463,81.5751262626263,68.5049677917524,87.0807453416149,70.9989386619822,78.2539682539683,86.7656765676568,61.1111111111111,94.6197991391679,96.3414634146341,73.3081169818975,75.7142514164986,75.2780273534991,82.9166666666667,56.0779019830744,75.782496999851,100,94.6556788511749,73.730465543807,81.8744234001868,78.3897968057675,78.3151955030839,66.5733830845771,74.4232499196581,65.0080862533693,82.7116786574794,80.3301342681964,86.5361840173606,78.3730158730159,71.2881022615536,86.0987589547381,57.8245341614907,79.5308614240284,84.5401573040574,81.705069124424,78.7037037037037,84.7824472969541,86.5791495036794,81.2721291745551,86.1405822386426,79.1150784141438,89.8345153664303,82.5152723701271
"% non classical Treg/Th1 or classical Th1 or Treg (i.e. OTHER)","CD4+ T cell",82.5587752870421,83.9781546421385,75.8297981230893,73.6020996727337,37.5,82.5971871884649,87.4137862961264,84.5199568500539,86.4661654135338,83.9712918660287,83.7179834054834,68.5670457716366,87.0807453416149,75.010796369492,81.5873015873016,87.2607260726073,61.1111111111111,95.1099952175992,96.3414634146341,74.739596538377,75.7142514164986,75.2780273534991,82.9166666666667,56.508936465833,79.0037966897127,100,95.1778720626632,76.187796203491,84.0367470421233,80.2547452253573,81.9133469115346,92.568407960199,79.7193016650335,66.3414195867026,83.9437562379673,81.5208974025126,86.7548958149069,78.3730158730159,75.7497541789577,86.3648265288538,66.2412008281574,83.2565293764026,85.5397759023867,81.8663594470046,81.0185185185185,86.0553308715785,87.2447225360152,83.6873218276527,88.0125034209086,79.8064827640848,90.0709219858156,83.252731627286
"%Non Treg","CD4+ T cell",85.5567705485693,94.0404330746383,82.8455394065037,80.8351942786445,81.25,85.3426982340724,91.7516442781169,91.9591735125716,97.7443609022556,91.5470494417863,90.7665945165945,72.689087631883,90.6832298136646,86.577916849656,92.1428571428572,90.7260726072607,66.6666666666667,97.5609756097561,97.5609756097561,75.8384146341463,76.2760491693076,76.1113606868324,91.6666666666667,60.9424340027788,90.1776201212231,100,96.2222584856397,90.8540938475628,93.173951510186,84.6256326264276,87.9169543404216,96.5867776502105,84.6737848996488,75.4177897574124,87.4301988853345,86.7831963535177,94.4992468765269,86.9047619047619,79.9164208456244,90.5335679820333,74.5900621118012,91.6712287630866,90.2975780634926,93.0414746543779,93.0555555555555,93.1788630990759,93.8152266429003,91.029986728566,94.630610290093,86.2809180452217,96.9267139479905,93.7448754040716
"%PD-1+ of CD4 T cells","CD4+ T cell",0,7.13615023474178,2.35670561244649,2.39730675754362,0,2.41252393846519,6.0753730006636,4.7008547008547,0,6.65071770334928,8.78201659451659,5.33955355821491,0,2.97906602254428,0,1.11111111111111,0,6.16331898613104,2.4390243902439,1.60449203894326,0.187265917602996,0.943396226415094,0,8.37912087912088,6.58652192639666,4.54545454545455,3.51664490861619,7.81704986474528,2.81172312170604,1.14443605260978,19.5168375448771,16.0065059318791,1.28488433618347,22.2866127583109,8.32115945227088,4.01690888313566,10.9621845697759,4.16666666666667,11.4060963618486,1.6167400626235,1.91666666666667,3.95876507784686,2.48883197513334,4.86175115207373,2.77777777777778,5.13014575151906,8.02069380772541,1.93067010600867,5.47716543513957,1.90333457372436,0.236406619385343,2.70740316114265
"%PD-1+ of Treg ","CD4+ T cell",0,0,12.8898243823617,3.28078890419044,0,0,2.90818988002087,0,0,0,0,10.7954545454545,0,3.84615384615385,0,0,0,0,0,0.675675675675676,0,0,0,8.33333333333333,0.174996644607109,0,0,1.51515151515152,0.396825396825397,3.17460317460317,2.38095238095238,5,1.81818181818182,16.6666666666667,7.91779904683131,4.93262140859395,5.81902167335299,0,0,0,4.16666666666667,3.33333333333333,1.81818181818182,50,0,3.18181818181818,11.7299255777517,2.22222222222222,4.54545454545455,2.77374616997258,0,3.88392857142857
"%PD-1 of non Treg","CD4+ T cell",0,7.16417910447761,2.11421880376244,2.23813499347012,0,2.76386843397153,6.37562496475282,5.23809523809524,0,7.35887096774194,9.48412698412698,5.21644446708487,0,3.2557770189788,0,1.19047619047619,0,6.42911010558069,2.56410256410256,1.55077357440941,0.241545893719807,1,0,7.5,7.37032495276512,4.54545454545455,3.73015873015873,8.44560917871108,2.92801079893687,0.868929107634608,21.0113557939645,16.1097806948386,1.28342245989305,25.7575757575758,8.49400700800076,4.10651155500601,11.099887146776,5.55555555555555,13.695652173913,1.71649246276112,0.274725274725275,4.00602347505002,2.48585123381626,1.3840830449827,2.77777777777778,5.23820039048897,7.70639976206529,1.74325220340048,5.41498694402219,1.79922210512657,0.24390243902439,2.64009201826775
"%PD-1+ of Th1","CD4+ T cell",0,0,2.16559534741353,5.44491860281334,0,10.4377104377104,9.59236326109391,0,0,14.8148148148148,5,14.7058823529412,0,3.88888888888889,0,0,0,10,0,8.33333333333333,0,0,0,0,8.58624597263541,0,6.25,19.9368904188181,19.2708787218591,4.28571428571429,7.8042328042328,34.375,0,11.1111111111111,16.8831168831169,15.950176366843,32.5954098474572,0,0,4.44444444444444,0,14.0350877192982,0,0,0,9.84126984126984,12.3306138306138,0.8,0,0,0,4.73242158675394
"%PD-1+ of OTHER","CD4+ T cell",0,7.26190476190476,2.11132641914838,1.83872712964785,0,2.34246141462636,6.35032568364792,6.04395604395604,0,7.00204813108039,9.44737227345923,4.89566004881765,0,2.55849056603774,0,1.19047619047619,0,5.96418186624372,2.63157894736842,1.33035018958496,0.252525252525253,1,0,9.58333333333333,6.78255301526706,4.54545454545455,3.6036036036036,5.63731732567381,1.79361753462717,0.576642152688683,20.9167844355759,15.6153576673808,1.39253497542268,35.4613640327926,7.99168077716511,3.22892126834551,9.1584137000579,5.88235294117647,13.695652173913,1.47146412642476,0.352112676056338,1.915952154123,2.62522480874407,1.51515151515152,3.19148936170213,4.79161088937758,7.36696094800364,1.70815295815296,5.87328696601217,1.97701747365613,0.26246719160105,1.93383972325247
"%PD-1+ of non classical Treg/Th1 ","CD4+ T cell",0,0,1.80558177373142,1.87988787026904,0,2.34246141462636,6.01329437473426,4.06976744186047,0,7.02595327546746,9.77655771195097,4.88457891113161,0,2.42222222222222,0,1.19047619047619,0,5.96955128205128,2.63157894736842,1.36385255523561,0.252525252525253,1,0,9.58333333333333,7.05684329036946,4.54545454545455,3.60655737704918,5.78050498219104,2.07326276956129,0.587837728705379,21.4978989170948,7.2960372960373,1.52347767196475,35.4844640558926,7.92483473911302,3.14527725776633,9.11094776865595,5.88235294117647,13.6996336996337,1.47525413654446,0.390625,2.08144796380091,2.65869172978768,1.52091254752852,2.17391304347826,4.2500088665515,7.3429999273388,1.74950625411455,4.83164842437363,1.98281458254243,0.263157894736842,1.95477740912242
